# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# ISO_639-3:		vma
# year_composed:	NA
# year_published:	1994  
# mode:			spoken
# genre_(broad):	conversation
# genre_(narrow):	spontaneous speeches
# writing_system:	Latn    
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.      
# short_description:	A story titled "The first boomerang" told by Algy Paterson. For details see Dench (1994), p. 22f.
# source:		Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 287-314.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:		whole
# comments:		The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines. In few occasions the translation doesn't align with the orthography, so that two ore more lines were joined together (line_62 and 63, line_71 and 72, line_141 and 142, line_166 and 167, line_271 and 272, line_278 and 279, line_302 and 303, line_318 and 319, line_323 and 324, line_340 and 341).

<line_1>	Ngayu marraringaraa wantharninyji , maral.yalaa jinangkaa
<line_194>	Pal.yarramalwalarru nganarna yangal.yarra ngurnaa ,<segmentation>	Pal.yarra-ma-lwala-rru nganarna yanga-l.yarra ngurnaa ,
<glossing>	plain-CAUS-PURPds-NOW 1PL.EXC chase-CTEMP that.ACC
<translation>	We made a plain out of that place chasing

<line_195>	ngurnutharraa wirratharraa yirru . ”
<segmentation>	ngurnu-tharra-a wirra-tharra-a yirru . ”
<glossing>	that.OBL-DU-ACC boomerang-DU-ACC HES
<translation>	those two boomerangs . ”

<line_196>	“ Ngawu . ngurnutharraa kartu wirunpanguru ? ”<segmentation>	“ Ngawu . ngurnu-tharra-a kartu wiru-npa-nguru ? ”
<glossing>	yes that.OBL-DU-ACC 2SG.NOM want-INCH-PRES
<translation>	“ Yes . You want those two boomerangs ? ”

<line_197>	Ngawu !
<segmentation>	Ngawu !
<glossing>	yes
<translation>	Yes !

<line_198>	Mankulayi ngurnungaraa wantinyilaa kankanmayii .
<segmentation>	Manku-layi ngurnu-ngara-a wanti-nyila-a kankanmayi-i .
<glossing>	grab-FUT that.OBL-PL-ACC lie-PrREL-ACC piled.up-ACC
<translation>	He grabs those lying there in a heap .

<line_199>	“ Nhiyu yirru ngunhaa yirru , ngayalyu yirru . ”<segmentation>	“ Nhiyu yirru ngunhaa yirru , ngayalyu yirru . ”
<glossing>	this.NOM HES that.NOM HES cousin HES
<translation>	“ This is the one , cousin . ”

<line_200>	Warntitharninyji ngunhaa nhawu-waa . thaapuwa ngunhaa<segmentation>	Warntitha-rninyji ngunhaa nhawu-waa . thaapuwa ngunhaa
<glossing>	throw-FUT that.NOM see-PURPs=o big.man that.NOM
<translation>	He throws it so he can see , and so that devil

<line_201>	mankuwala nhawulayi ngurnu .<segmentation>	manku-wala nhawu-layi ngurnu .
<glossing>	grab-PURPds look-FUT that.ACC
<translation>	picks it up and looks at it .

<line_202>	Nhawulayi yilhiil juwayulaa . nhawulayi wirraa .
<segmentation>	Nhawu-layi yilhi-i-l juwayu-la-a . nhawu-layi wirra-a .
<glossing>	look-FUT chip-ACC-THEN hand-LOC-ACC look-FUT boomerang-ACC
<translation>	He looks at the chips in his hand . Looks at the boomerang .

<line_203>	“ Piyuwa yirru , ngayalyu yirru . Nhiyu yarta yirru . ”<segmentation>	“ Piyuwa yirru , ngayalyu yirru . Nhiyu yarta yirru . ”
<glossing>	finish HES cousin HES this.NOM other HES
<translation>	“ No fear , cousin . This is another one . ”

<line_204>	Warntitharninyji . Ngartil warntitharninyji ngurnu .<segmentation>	Warntitha-rninyji . Ngartil warntitha-rninyji ngurnu .
<glossing>	throw-FUT again throw-FUT that.ACC
<translation>	He throws it down . The man throws across another one .

<line_205>	“ Ngurnurrunu !<segmentation>	“ Ngurnu-rru-nu !
<glossing>	that.ACC-NOW-QUOT
<translation>	“ That's

<line_206>	Yarta waruul yirru nhiyu yirru , ngayalyu yirru .<segmentation>	Yarta waruul yirru nhiyu yirru , ngayalyu yirru .
<glossing>	other still HES this.NOM HES cousin HES
<translation>	still the wrong one , this one here , cousin .

<line_207>	Nhiyu paju yirru , ngayalyu yirru , yilhi yirru . ”
<segmentation>	Nhiyu paju yirru , ngayalyu yirru , yilhi yirru . ”
<glossing>	this.NOM REAL HES cousin HES chip HES
<translation>	This is the one , cousin , these chips . ”

<line_208>	Nhiyu mir.talpurtu wiru yungkulayi ngurnaa .<segmentation>	Nhiyu mir.ta-lpurtu wiru yungku-layi ngurnaa .
<glossing>	this.NOM not-COMP wanting give-FUT that.ACC
<translation>	This one didn't want to give it to him .

<line_209>	Wuraal , ngunhu wirra nharnungurni yirla , tharrwirnu .
<segmentation>	Wuraal , ngunhu wirra nharnu-ngurni yirla , tharrwi-rnu .
<glossing>	well that.NOM boomerang sand-OBSCRD only put.in-PASSP
<translation>	Well , that boomerang was just under the sand , had been put away .

<line_210>	“ Nhiyu ngunhaa . ”<segmentation>	“ Nhiyu ngunhaa . ”
<glossing>	this.NOM that.NOM
<translation>	“ This is it . ”

<line_211>	Ngartil waruul mankulayi ngunhu kanyara .<segmentation>	Ngartil waruul manku-layi ngunhu kanyara .
<glossing>	again still grab-FUT that.NOM man
<translation>	Once again that man grabs one .

<line_212>	“ Nhiyu ngunhaa ngayalyu . ”<segmentation>	“ Nhiyu ngunhaa ngayalyu . ”
<glossing>	this.NOM that.NOM cousin
<translation>	“ This is it , cousin . ”

<line_213>	Nhiyaa warntitharninyji mankuwala thaapuwa . Nhawulayi ngunhu .<segmentation>	Nhiyaa warntitha-rninyji manku-wala thaapuwa . Nhawu-layi ngunhu .
<glossing>	this.NOM throw-FUT grab-PURPds big.man look-FUT that.NOM
<translation>	He throws it down so the other can look at it . He looks at it .

<line_214>	“ Piyuwa yirru , ngayalyu yirru . Nhiyu yarta waruu yirru . ”<segmentation>	“ Piyuwa yirru , ngayalyu yirru . Nhiyu yarta waruu yirru . ”
<glossing>	finish HES cousin HES this.NOM other still HES
<translation>	“ No it isn't , cousin . This is the wrong one . ”

<line_215>	Warntitharninyji , yungkulayi , ngartil waruu .<segmentation>	Warntitha-rninyji , yungku-layi , ngartil waruu .
<glossing>	throw-FUT give-FUT again still
<translation>	Chucks it away . Gives another one .

<line_216>	“ Kartu mil.yirringuru yirru , ngayalyu yirru , nhiyu paju yirru<segmentation>	“ Kartu mil.yirri-nguru yirru , ngayalyu yirru , nhiyu paju yirru
<glossing>	2SG.NOM hide-PRES HES cousin HES this.NOM REAL HES
<translation>	“ You're hiding it , cousin . These are

<line_217>	yilhirru . Nhiyu paju kartungku yinkarnu ngulangu .<segmentation>	yilhi-rru . Nhiyu paju kartungku yinka-rnu ngulangu .
<glossing>	chip-NOW this.NOM REAL 2SG.EFF chisel-PASSP there
<translation>	the chips now . This is the very one you chopped over there .

<line_218>	Wanthalamalalha kartu , kartu kanyjarnuru .<segmentation>	Wanthala-ma-lalha kartu , kartu kanyja-rnuru .
<glossing>	somewhere-CAUS-PAST 2SG.NOM 2SG.NOM keep-PRES
<translation>	What have you done with it ? You're keeping it there somewhere .

<line_219>	Ngayu wiru yirnaa paju yilhiirru , ngayalyu yirru . ”
<segmentation>	Ngayu wiru yirnaa paju yilhi-i-rru , ngayalyu yirru . ”
<glossing>	1SG.NOM wanting this.ACC REAL chip-ACC-NOW cousin HES
<translation>	I want this one , that these chips come from , cousin . ”

<line_220>	“ Nhiyurru ngunhaa . ”<segmentation>	“ Nhiyu-rru ngunhaa . ”
<glossing>	this.NOM-NOW that.NOM
<translation>	“ This is it . ”

<line_221>	Ngulangu wantilha thawurrangara . Nhamintha ngula ,<segmentation>	Ngulangu wanti-lha thawurra-ngara . Nhamintha ngula ,
<glossing>	there lie-PAST boomerang-PL how.many IGNOR
<translation>	Boomerangs were lying there . I don't know how many ,

<line_222>	kayarrajina , kayarrajuwayu wirrangara .<segmentation>	kayarrajina , kayarrajuwayu wirra-ngara .
<glossing>	two foot two hand boomerang-PL
<translation>	maybe ten , maybe twenty .

<line_223>	Warntitharralha ngunhaa ngunhu thaapuwa nhuuranpanyila .
<segmentation>	Warntitha-rralha ngunhaa ngunhu thaapuwa nhuura-npa-nyila .
<glossing>	throw-PAST that.NOM that.NOM big.man know-INCH-PrREL
<translation>	He threw them across but that fellow was waking up .

<line_224>	“ Piyuwa , ngayalyu yirru yarta waruu nhiyu yirru , ngayalyu yirru . ”<segmentation>	“ Piyuwa , ngayalyu yirru yarta waruu nhiyu yirru , ngayalyu yirru . ”
<glossing>	finish cousin HES other still this.NOM HES cousin HES
<translation>	“ Nothing , cousin . This is still the wrong one . ”

<line_225>	Ngunhaa warntitharralha ngurnu thawurrangaraa nhawuwaa .<segmentation>	Ngunhaa warntitha-rralha ngurnu thawurra-ngara-a nhawu-waa .
<glossing>	that.NOM throw-PAST that.ACC boomerang-PL-ACC look-PURPs=o
<translation>	He threw the boomerangs across to him so he could see them .

<line_226>	“ Nhiyu ngunhaa ! ”<segmentation>	“ Nhiyu ngunhaa ! ”
<glossing>	this.NOM that.NOM
<translation>	“ This is it ! ”	

<line_227>	Mankuwala ngunhu , ngayalyu . Nhawulayi ngurnu , panyumal.yarra .<segmentation>	Manku-wala ngunhu , ngayalyu . Nhawu-layi ngurnu , panyu-ma-l.yarra .
<glossing>	grab-PURPds that.NOM devil see-FUT that.ACC good-CAUS-CTEMP
<translation>	He picks it up , that ngayalyu , looks at it , checks it .

<line_228>	“ Piyuwa ngayalyu . Nhiyu paju yirru yilhi yirru .<segmentation>	“ Piyuwa ngayalyu . Nhiyu paju yirru yilhi yirru .
<glossing>	finish cousin this.NOM REAL HES chip HES
<translation>	“ No cousin . This chip is the one I want .

<line_229>	Nhiyu yirru yilhi yirru , mir.ta nhiyu .<segmentation>	Nhiyu yirru yilhi yirru , mir.ta nhiyu .
<glossing>	this.NOM HES chip HES not this.NOM
<translation>	This chip , not this one .

<line_230>	Ngurnulaa kartu kanyjarnuru wanthala . Nhiyu paju ! ”
<segmentation>	Ngurnula-a kartu kanyja-rnuru wanthala . Nhiyu paju ! ”
<glossing>	that.DEF-ACC 2SG.NOM keep-PRES somewhere this.NOM REAL
<translation>	You're keeping it somewhere . This one ! ”

<line_231>	Waa ! Ngunhaa kanyara mir.ta waruulpurtu ngurnu kanangkalwalalha ,<segmentation>	Waa ! Ngunhaa kanyara mir.ta waruul-purtu ngurnu kanangkalwa-lalha ,
<glossing>	oh.dear that.NOM man not still-COMP that.ACC make.clear-PAST
<translation>	Oh dear . That man just wouldn't bring them out in the open ,

<line_232>	piyuwa . Wantharni ngunhaa kuyilwalalha . Kuyilwalalharru ngurnaa<segmentation>	piyuwa . Wantharni ngunhaa kuyilwa-lalha . Kuyilwa-lalha-rru ngurnaa
<glossing>	finish how that.NOM spoil-PAST spoil-PAST-NOW that.ACC
<translation>	not at all . That's how he spoiled everything . He ruined it right

<line_233>	ngulangulwa , ngunhu kanyara . Mir.ta nhuura wantharnimalwaa<segmentation>	ngulangu-lwa , ngunhu kanyara . Mir.ta nhuura wantharni-ma-lwaa
<glossing>	there-YK that.NOM man not know how-CAUS-PURPs=o
<translation>	there , that man . He didn't know what that devil was going to do .

<line_234>	ngurnaa thaapuwaa . Ngunhaanu , kuyil ngunhaa .<segmentation>	ngurnaa thaapuwa-a . Ngunhaa-nu , kuyil ngunhaa .
<glossing>	that.ACC big.man-ACC that.NOM-QUOT bad that.NOM
<translation>	He was certainly bad that fellow .

<line_235>	Ngunhaa nhuuranpalayi nhartuu wii mil.yirringulinyilaa .<segmentation>	Ngunhaa nhuura-npa-layi nhartu-u wii mil.yirri-nguli-nyila-a .
<glossing>	that.NOM know-INCH-FUT what-ACC maybe hide-PASS-PrREL-ACC
<translation>	He woke up to the fact that something was being hidden .

<line_236>	Ngunhaa nhuuranpalayi , warruwa kuyil .<segmentation>	Ngunhaa nhuura-npa-layi , warruwa kuyil .
<glossing>	that.NOM know-INCH-FUT devil bad
<translation>	He woke up , that devil .

<line_237>	Ngunhaa nhuura waruulpurtu yirna mil.yirrinyilaa kanyaraa .<segmentation>	Ngunhaa nhuura waruul-purtu yirna mil.yirri-nyila-a kanyara-a .
<glossing>	that.NOM know still-COMP this.ACC hide-PrREL-ACC man-ACC
<translation>	He knew this man was hiding something .

<line_238>	Mir.ta wiru ngunhaa nhuuramalalha ngurnu nhuuranpanyila .<segmentation>	Mir.ta wiru ngunhaa nhuura-ma-lalha ngurnu nhuura-npa-nyila .
<glossing>	not wanting that.NOM know-CAUS-PAST that.ACC know-INCH-PrREL
<translation>	He didn't work out that that man was waking up to it .

<line_239>	“ Nhiyu paju yirru , ngayalyu yirru , ngunhu paju yirru<segmentation>	“ Nhiyu paju yirru , ngayalyu yirru , ngunhu paju yirru
<glossing>	this.NOM REAL HES cousin HES that.NOM REAL HES
<translation>	“ This one , cousin ! That very one that made

<line_240>	pal.yarramalalha yirru Wirrawantii . Wirrawantiirru wangkanguliwaa .<segmentation>	pal.yarra-ma-lalha yirru Wirrawanti-i . Wirrawanti-i-rru wangka-nguli-waa .
<glossing>	plain-CAUS-PAST HES Wirrawanti-ACCWirrawanti-ACC-NOW call-PURPs=o
<translation>	a plain out of Wirrawanti , and so now it's called Wirrawanti .

<line_241>	Nganarnalu jinangku panyirnu ngunhu pal.yarrarruwantinguru<segmentation>	Nganarna-lu jina-ngku panyi-rnu ngunhu pal.yarra-rruwanti-nguru
<glossing>	1PL.EXC-EFF foot-EFF tread-PASSP that.NOM plain-NOW lie-PRES
<translation>	That one that was trampled by our feet

<line_242>	yangarnuralu . Yirna yilhii , kartu mil.yirringuru yirru ,<segmentation>	yanga-rnura-lu . Yirna yilhi-i , kartu mil.yirri-nguru yirru ,
<glossing>	chase-PrREL-EFF this.ACC chip-ACC 2SG.NOM hide-PRES HES
<translation>	as we chased about . These chips here . You're hiding them ,

<line_243>	ngayalyu yirru . ”
<segmentation>	ngayalyu yirru . ”
<glossing>	cousin HES
<translation>	cousin . ”

<line_244>	Nhiyu wangkanguru payanpanguru .<segmentation>	Nhiyu wangka-nguru paya-npa-nguru .
<glossing>	this.NOM talk-PRES angry-INCH-PRES
<translation>	He's getting angry as he talks .

<line_245>	“ Kartu mil.yirringuru , ngayalyu yirru . Yirna paju yirru<segmentation>	“ Kartu mil.yirri-nguru , ngayalyu yirru . Yirna paju yirru
<glossing>	2SG.NOM hide-PRES cousin HES this.ACC REAL HES
<translation>	“ You're hiding them , cousin .

<line_246>	yilhii yirru ngayu wirunpalha yirru . Kartu nganaju<segmentation>	yilhi-i yirru ngayu wiru-npa-lha yirru . Kartu nganaju
<glossing>	chip-ACC HES 1SG.NOM want-INCH-PAST HES 2SG.NOM 1SG.ACC
<translation>	I want those boomerangs that belong to these chips .

<line_247>	mir.ta yungkulayi . Ngayu punilayi jalya . Wuraal .<segmentation>	mir.ta yungku-layi . Ngayu puni-layi jalya . Wuraal .
<glossing>	not give-FUT 1SG.NOM go-FUT rubbish well
<translation>	You won't give them to me . I've got to go off with nothing . Okay .

<line_248>	Ngayu wantharnimarninyji . ”
<segmentation>	Ngayu wantharni-ma-rninyji . ”
<glossing>	1SG.NOM how-CAUS-FUT
<translation>	I'll do something about it . ”

<line_249>	Payawirrilharru ngunhaa . Waralirrawaara kurntarrarru . Yilhimarta<segmentation>	Payawirri-lha-rru ngunhaa . Warali-rrawaara kurntarra-rru . Yilhi-marta
<glossing>	angry-PAST-NOW that.NOM move-SEQ give.up-NOW chip-PROP
<translation>	He had gotten angry now and moved away in a sulk . He still had the chips , 

<line_250>	waruul , juwayulamarta , ngunhaa kanyjarnura . Thana , ngunhaa<segmentation>	waruul , juwayu-la-marta , ngunhaa kanyja-rnura . Thana , ngunhaa
<glossing>	still hand-LOC-PROP that.NOM keep-PrREL let that.NOM
<translation>	still had them in his hand . Well let him

<line_251>	punilharru payanpalharru . Punilharru ngunhaa .
<segmentation>	puni-lha-rru paya-npa-lha-rru . Puni-lha-rru ngunhaa .
<glossing>	go-PAST-NOW angry-INCH-PAST-NOW go-PAST-NOW that.NOM
<translation>	go off angry now . And off he went .

<line_252>	“ Ngawu ! Kartu mil.yirringuru nganaju . Ngayu puningururru . ”<segmentation>	“ Ngawu ! Kartu mil.yirri-nguru nganaju . Ngayu puni-nguru-rru . ”
<glossing>	yes 2SG.NOM hide-PRES 1SG.ACC 1SG.NOM go-PRES-NOW
<translation>	“ Yes . You're hiding them on me . I'm going now . ”

<line_253>	Thaapuwa punilha ngunhaa ngurnumarta yilhimarta juwayulamarta ,<segmentation>	Thaapuwa puni-lha ngunhaa ngurnu-marta yilhi-marta juwayu-la-marta ,
<glossing>	big.man go-PAST that.NOM that.OBL-PROP chip-PROP hand-LOC-PROP
<translation>	That devil went off with the chips in his hand ,

<line_254>	Kawuyuu wirtalu , parlaa . Ngunhulwa ngunhaa ,<segmentation>	Kawuyu-u wirta-lu , parla-a . Ngunhu-lwa ngunhaa ,
<glossing>	Kawuyu-ACC climb-PURPss hill-ACC that.NOM-YK that.NOM
<translation>	to climb Kawuyu hill . That's him , that

<line_255>	ngayalyu yirru thaapuwa , kuyil . Wirtalha nhawulhanguruwa .<segmentation>	ngayalyu yirru thaapuwa , kuyil . Wirta-lha nhawu-lha-nguru-wa .
<glossing>	devil HES big.man bad climb-PAST see-PAST-ABL-YK
<translation>	ngayalyu , a proper bad old bastard . He climbed up the hill after he had seen

<line_256>	Kuyil parru warruwa . Thuulwarninyji kanarraa ngurnunguru .<segmentation>	Kuyil parru warruwa . Thuulwa-rninyji kanarra-a ngurnu-nguru .
<glossing>	bad devil devil pull-FUT wind-ACC that.OBL-ABL
<translation>	the other fellow . A really bad devil . He pulled the wind , called it up then .

<line_257>	Mir.tanu jarruru kanarra patharralha . Ngunhaanu , ngunhaa<segmentation>	Mir.ta-nu jarruru kanarra patha-rralha . Ngunhaa-nu , ngunhaa
<glossing>	not-QUOT slowly wind blow-PAST that.NOM-QUOT that.NOM
<translation>	The wind didn't blow slowly . Then he

<line_258>	puulywalalha kanarrala thawulalha yilhii . Warntitharralha karalurru .<segmentation>	puulywa-lalha kanarra-la thawu-lalha yilhi-i . Warntitha-rralha karalu-rru .
<glossing>	puff-PAST wind-LOC send-PAST chip-ACC throw-PAST south-NOW
<translation>	puffed and sent the chips on the wind , throwing them west .

<line_259>	Kanarralu ngunhaa kangkuyangu panyu wirra yilhi pungkalha ,<segmentation>	Kanarra-lu ngunhaa kangku-yangu panyu wirra yilhi pungka-lha ,
<glossing>	wind-EFF that.NOM carry-PASSP good boomerang chip fall-PAST
<translation>	They were carried by the wind , those good boomerang chips , and fell down

<line_260>	ngunhurru Minturrularru karalurru . Minturrula ngunharru<segmentation>	ngunhu-rru Minturru-la-rru karalu-rru . Minturru-la ngunha-rru
<glossing>	that.NOM-NOW Minturru-LOC-NOW south-NOW Minturru-LOC that.NOM-NOW
<translation>	there in the south in Minturru country . They fell in Minturru and

<line_261>	Pintharr , ngurnungaralalwarru ngurrangarala Kuwinywartuwuyula .<segmentation>	Pintharr , ngurnu-ngara-la-lwa-rru ngurra-ngara-la Kuwinywartu-wuyu-la .
<glossing>	Pintharr that.OBL-PL-LOC-YK-NOW country-PL-LOC Kuwinywartu-SIDE-LOC
<translation>	Pintharr country , in all the country on that Kuwinywartu ( Carnarvon ) side .

<line_262>	Yilhingara panyu patharnu kangkuyangu kanarralu Kawuyulanguru .<segmentation>	Yilhi-ngara panyu patha-rnu kangku-yangu kanarra-lu Kawuyu-la-nguru .
<glossing>	chip-PL good blow-PASSP carry-PASSP wind-EFF Kawuyu-LOC-ABL
<translation>	Those chips were blown and carried by the wind right from Kawuyu .

<line_263>	Palwarrungunhaa , kuyilwalalharru . Jalyangararru nhiyu ,<segmentation>	Palwarrungunhaa , kuyilwa-lalha-rru . Jalya-ngara-rru nhiyu ,
<glossing>	truly that.NOM spoil-PAST-NOW rubbish-PL-NOW this.NOM
<translation>	Well that's how he spoiled things . The

<line_264>	wirra wantilha yilangu pukartingara nyinamarringuru
<segmentation>	wirra wanti-lha yilangu pukarti-ngara nyina-marri-nguru
<glossing>	boomerang lie-PAST here snakewood-PL be-COLL-PRES
<translation>	boomerangs that grow here , the snakewood in this country is

<line_265>	jalyarru . Ngunhaa warntitharralhala thaapuwa warruwa ,
<segmentation>	jalya-rru . Ngunhaa warntitha-rralha-la thaapuwa warruwa ,
<glossing>	rubbish-NOW that.NOM throw-PAST-LOC big.man devil
<translation>	useless . When that old bastard of a devil threw them

<line_266>	yimpala wantiwaa , ngurra karalu yirla wirrangara panyungara .<segmentation>	yimpala wanti-waa , ngurra karalu yirla wirra-ngara panyu-ngara .
<glossing>	like.that lie-PURPs=o country south only boomerang-PL good-PL
<translation>	so they would be like that , only the south country has good boomerangs .

<line_267>	Ngunhaa parilha jinangkuyangu ngurnungaralu kanyarangaralu ,
<segmentation>	Ngunhaa parilha jinangku-yangu ngurnu-ngara-lu kanyara-ngara-lu ,
<glossing>	that.NOM still track-PASSP that.OBL-PL-EFF man-PL-EFF
<translation>	But it's still traced back by the people there .

<line_268>	parilha jinangkuyangu wanthanguru yirla kanarrilha .
<segmentation>	parilha jinangku-yangu wantha-nguru yirla kanarri-lha .
<glossing>	still track-PASSP where-ABL only come-PAST
<translation>	They traced where the boomerangs came from .

<line_269>	Ngunhungara wantharnimalwayararru ?<segmentation>	Ngunhu-ngara wantharni-ma-lwayara-rru ?
<glossing>	that.NOM-PL how-CAUS-HABIT-NOW
<translation>	And what did they used to do ?

<line_270>	Ngunhungara ngula yinkalwayara wirrangaraa .
<segmentation>	Ngunhu-ngara ngula yinka-lwayara wirra-ngara-a .
<glossing>	that.NOM-PL that.LOC chisel-HABIT boomerang-PL-ACC
<translation>	They used to carve a lot of boomerangs .

<line_271>	Ngunhungara nhuura ngurnu yilhii warntitharnuurru ngulangunguru , Kawuyulanguru , wirraa panyuu .<segmentation>	Ngunhu-ngara nhuura ngurnu yilhi-i warntitha-rnu-u-rru ngulangu-nguru , Kawuyu-la-nguru , wirra-a panyu-u .
<glossing>	that.NOM-PL know that.ACC chip-ACC throw-PASSP-ACC-NOW there-ABL Kawuyu-LOC-ABL boomerang-ACC good-ACC
<translation>	They knew that the chips , all the good boomerangs , had been thrown from there on Kawuyu .

<line_273>	Nhiyu , ngayu kuwarri wantharnuru , marrarii ngurnu<segmentation>	Nhiyu , ngayu kuwarri wantha-rnuru , marrari-i ngurnu
<glossing>	this.NOM 1SG.NOM now put-PRES word-ACC that.ACC
<translation>	This story that I'm putting down now about what

<line_274>	ngayalyurru wantharnimarnu . Kawari mirntiwul nhuura ngurnaa .
<segmentation>	ngayalyu-rru wantharni-ma-rnu . Kawari mirntiwul nhuura ngurnaa .
<glossing>	devil-NOW how-CAUS-PASSP south together know that.ACC
<translation>	the ngayalyu did , well all the people in the south know this .

<line_275>	Kuwinywartu yirla , jurlu , mirntiwul waruul . Ngunhungara nhuura
<segmentation>	Kuwinywartu yirla , jurlu , mirntiwul waruul . Ngunhu-ngara nhuura
<glossing>	Kuwinywartu only all together still that.NOM-PL know
<translation>	In the Gascoyne area , all of them together , they know just

<line_276>	wanthalanguru yilhi kanarrilhala . Ngunhungara yinkalwayarawa<segmentation>	wanthala-nguru yilhi kanarri-lha-la . Ngunhu-ngara yinka-lwayara-wa
<glossing>	where-ABL chip come-PAST-LOC that.NOM-PL chisel-HABIT-YK
<translation>	where these chips came from . They used to carve

<line_277>	wirrangaraa , yinkalwayara thawurninyji . Thawurninyji
<segmentation>	wirra-ngara-a , yinka-lwayara thawu-rninyji . Thawu-rninyji
<glossing>	boomerang-PL-ACC chisel-HABIT send-FUT send-FUT
<translation>	a lot of boomerangs and send them back to

<line_278>	Wirrawantimulyarral . Wanthalanguru ngurnu kuwarril warntitharnula yilhi . Panyungara kalyaranngarangulu
<segmentation>	Wirrawanti-mulyarra-l . Wanthala-nguru ngurnu kuwarri-l warntitha-rnu-la yilhi . Panyu-ngara kalyaran-ngarangulu
<glossing>	Wirrawanti-ALL-THEN somewhere-ABL that.ACC beginning-THEN throw-PASSP-LOC chip good-PL tree-PL that.EFF
<translation>	Wirrawanti . That's where they were thrown from in the first place . All the good trees

<line_280>	growemmarnu . Ngunhu yirlarru karalu yirlarru wantilha
<segmentation>	growem-ma-rnu . Ngunhu yirla-rru karalu yirla-rru wanti-lha
<glossing>	grow-CAUS-PASSP that.NOM only-NOW south only-NOW lie-PAST
<translation>	were grown by them . Only there in the south

<line_281>	karlwamarrilha kalyaranngarapanyungara , yilhi panyu warntitharnu .
<segmentation>	karlwa-marri-lha kalyaran-ngarapanyu-ngara , yilhi panyu warntitha-rnu .
<glossing>	grow.up-COLL-PAST tree-PL good-PL chip good throw-PASSP
<translation>	did the good trees come up after the boomerang chips had been thrown there .

<line_282>	Nhuuranu waruu , ngunhungara yinkalwayara
<segmentation>	Nhuura-nu waruu , ngunhu-ngara yinka-lwayara
<glossing>	know-QUOT still that.NOM-PL chisel-HABIT
<translation>	They still know it , apparently , and used to carve

<line_283>	Kawuyunyungungaraa yinkalwayara thawurninyji Wirrawantimulyarra .
<segmentation>	Kawuyu-nyungu-ngara-a yinka-lwayara thawu-rninyji Wirrawanti-mulyarra .
<glossing>	Kawuyu-DWELL-PL-ACC chisel-HABIT send-FUT Wirrawanti-ALL
<translation>	all the ones that came from Kawuyu and send them back home to Wirrawanti .

<line_284>	“ Nhiyurrunu nhuwanawulanguru ngurrangkanguru
<segmentation>	“ Nhiyu-rru-nu nhuwana-wu-la-nguru ngurra-ngka-nguru
<glossing>	this.NOM-NOW-QUOT 2PL-GEN-LOC-ABL country-LOC-ABL
<translation>	“ These are from your country ,

<line_285>	yilhi warntitharnu warruwalu . Nhuwana ... ”
<segmentation>	yilhi warntitha-rnu warruwa-lu . Nhuwana ... ”
<glossing>	chip throw-PASSP devil-EFF 2PL
<translation>	the chips thrown by the devils . You ... ”

<line_286>	Mir.talulwa mil.yirrilha wii , nhuura warnu .<segmentation>	Mir.ta-l-u-lwa mil.yirri-lha wii , nhuura warnu .
<glossing>	not-THEN-ACC-YK hide-PAST maybe know ASSERT
<translation>	They don't hide them away , they know all right .

<line_287>	Ngunhungara thawulalha kuyurryurru wangkangulinyilaa .
<segmentation>	Ngunhu-ngara thawu-lalha kuyurr-yu-rru wangka-nguli-nyila-a .
<glossing>	that.NOM-PL send-PAST bundle-ACC-NOW tell-PASS-PrREL-ACC
<translation>	They sent what are called bundles of boomerangs .

<line_288>	Ngunhu kuyilwalalharru warruwa . Panyu waruul wurtu wantilha
<segmentation>	Ngunhu kuyilwa-lalha-rru warruwa . Panyu waruul wurtu wanti-lha
<glossing>	that.NOM spoil-PAST-NOW devil good still HYPTH lie-PAST
<translation>	That devil spoiled it all.  Well that was all right ,

<line_289>	kanyaratharrangunhu . Panyu waruul wantilha yilhingara warntitharnu<segmentation>	kanyara-tharrangunhu . Panyu waruul wanti-lha yilhi-ngara warntitha-rnu
<glossing>	people-DU that.NOM good still lie-PAST chip-PL throw-PASSP
<translation>	the two peoples were good about that . It was okay that the chips had been thrown

<line_290>	kalyaran kuyilungara yilarru karlwalharru ngurrangka .
<segmentation>	kalyaran kuyil-u-ngara yila-rru karlwa-lha-rru ngurra-ngka .
<glossing>	tree bad-Ø-PL this.LOC-NOW grow.up-PAST-NOW country-LOC
<translation>	and that only useless trees grew up in the country .

<line_291>	Yimpalarruwa . Nhiyu mankuwayara waruu , ngurnungaraa
<segmentation>	Yimpala-rru-wa . Nhiyu manku-wayara waruu , ngurnu-ngara-a
